id_odsp, team1, team2, team1_won, team2_won, location, team1_goals, team2_goals
0WIqQcmU/,Bordeaux,Lille,1,1,3,1,1
0WrpGNIF/,Valenciennes,Bastia,1,0,13,1,1
0WrpGNIF/,Bastia,Valenciennes,0,1,3,1,1
0WrpGNIF/,Bastia,Valenciennes,0,1,13,1,1
0WrpGNIF/,Valenciennes,Bastia,1,0,3,1,1
0xlO1n89/,Mainz,TSV Eintracht Braunschweig,0,1,3,1,3
0xlO1n89/,TSV Eintracht Braunschweig,Mainz,1,0,3,3,1
0xShn78M/,Werder Bremen,VfL Wolfsburg,0,1,3,1,1
0xShn78M/,VfL Wolfsburg,Werder Bremen,1,0,3,1,1
0xxzxg4k/,Real Madrid,Malaga,1,0,15,2,1
0xxzxg4k/,Malaga,Real Madrid,0,1,15,1,2
0YfXdzoH/,Villarreal,Malaga,1,0,15,1,1
0YfXdzoH/,Malaga,Villarreal,0,1,15,1,1
0zgXiimB/,Eintracht Frankfurt,SC Paderborn,0,1,3,1,2
0zgXiimB/,SC Paderborn,Eintracht Frankfurt,1,0,3,2,1
0zylY0Ap/,Getafe,Real Betis,0,1,3,1,1
0zylY0Ap/,Getafe,Real Betis,0,1,13,1,1
0zylY0Ap/,Real Betis,Getafe,1,0,3,1,1
0zylY0Ap/,Real Betis,Getafe,1,0,13,1,1
21dAUXeD/,Nice,Marseille,1,1,3,1,1
21dAUXeD/,Marseille,Nice,1,1,3,1,1
233M67kh/,Manchester Utd,Leicester City,0,1,3,2,3
233M67kh/,Leicester City,Manchester Utd,1,0,3,3,2
23wVuwZC/,Hellas Verona,Genoa,0,1,3,2,2
23wVuwZC/,Genoa,Hellas Verona,1,0,3,2,2
25qICCKD/,Internazionale,Cagliari,1,1,3,2,2
25qICCKD/,Cagliari,Internazionale,1,1,3,2,2
27DI0bhk/,Cagliari,Juventus,0,1,3,1,1
27DI0bhk/,Juventus,Cagliari,1,0,3,1,1
29lhWvNP/,Parma,Atalanta,0,1,3,1,1
29lhWvNP/,Atalanta,Parma,1,0,3,1,1
2auFnBTL/,Borussia Dortmund,Werder Bremen,0,1,3,1,1
2auFnBTL/,Werder Bremen,Borussia Dortmund,1,0,3,1,1
2aZsPNXT/,Athletic Bilbao,Getafe,0,1,3,1,2
2aZsPNXT/,Getafe,Athletic Bilbao,1,0,3,2,1
2B2aU0Qe/,FC Augsburg,Hamburg SV,1,1,3,1,1
2B2aU0Qe/,Hamburg SV,FC Augsburg,1,1,3,1,1
2Bed8OX1/,Stoke City,Swansea,1,1,3,2,2
2Bed8OX1/,Swansea,Stoke City,1,1,3,2,2
2BeOGYZ6/,AS Roma,Atalanta,1,0,3,1,1
2BeOGYZ6/,Atalanta,AS Roma,0,1,3,1,1
2BVgJghs/,Burnley,Manchester Utd,0,1,13,1,1
2BVgJghs/,Manchester Utd,Burnley,1,0,13,1,1
2cJEnzcE/,Napoli,Juventus,1,1,3,1,3
2cJEnzcE/,Juventus,Napoli,1,1,3,3,1
2clr1Awo/,Internazionale,Torino,1,1,3,2,1
2clr1Awo/,Torino,Internazionale,1,1,3,1,2
2cRbSamh/,Parma,Catania,1,1,3,2,2
2cRbSamh/,Catania,Parma,1,1,3,2,2
2euncanG/,AC Ajaccio,Lyon,1,0,3,1,1
2euncanG/,Lyon,AC Ajaccio,0,1,3,1,1
2F58toeT/,Tottenham,Crystal Palace,0,1,3,1,1
2F58toeT/,Crystal Palace,Tottenham,1,0,3,1,1
2FTMVra1/,Newcastle,Arsenal,0,1,3,1,2
2FTMVra1/,Arsenal,Newcastle,1,0,3,2,1
2HjCGcy7/,Liverpool,Arsenal,1,1,3,2,1
2HjCGcy7/,Arsenal,Liverpool,1,1,3,1,2
2iDUG1P3/,Napoli,Palermo,1,1,3,2,3
2iDUG1P3/,Palermo,Napoli,1,1,3,3,2
2iMUPaQ8/,Hannover 96,Mainz,1,1,3,1,1
2iMUPaQ8/,Mainz,Hannover 96,1,1,3,1,1
2J6xgTqs/,AC Milan,Internazionale,0,1,14,1,2
2J6xgTqs/,Internazionale,AC Milan,1,0,14,2,1
