assists,goals,attempts,event_team
0,42,469,Palermo
1,62,847,Palermo
2,38,271,Palermo
3,10,55,Palermo
4,19,80,Palermo
0,98,649,Napoli
1,119,1348,Napoli
2,52,386,Napoli
3,6,58,Napoli
4,38,147,Napoli
0,105,683,Real Madrid
1,166,1407,Real Madrid
2,85,539,Real Madrid
3,7,48,Real Madrid
4,55,196,Real Madrid
0,44,514,Getafe
1,60,809,Getafe
2,49,333,Getafe
3,3,52,Getafe
4,8,63,Getafe
0,75,625,Marseille
1,66,1085,Marseille
2,76,590,Marseille
3,10,86,Marseille
4,13,73,Marseille
0,95,657,Montpellier
1,78,983,Montpellier
2,45,419,Montpellier
3,6,93,Montpellier
4,25,82,Montpellier
0,84,592,Sevilla
1,80,1002,Sevilla
2,55,481,Sevilla
3,10,76,Sevilla
4,27,115,Sevilla
0,59,538,Granada
1,35,723,Granada
2,25,341,Granada
3,4,55,Granada
4,16,52,Granada
0,78,665,AS Roma
1,96,1438,AS Roma
2,60,377,AS Roma
3,6,62,AS Roma
4,34,147,AS Roma
0,59,547,Catania
1,40,791,Catania
2,40,319,Catania
3,11,48,Catania
4,15,90,Catania
0,67,458,Torino
1,53,898,Torino
2,48,310,Torino
3,4,45,Torino
4,12,59,Torino
0,36,236,Siena
1,15,348,Siena
2,28,167,Siena
3,5,34,Siena
4,9,39,Siena
0,72,540,Cagliari
1,54,1042,Cagliari
2,38,424,Cagliari
3,8,72,Cagliari
4,13,64,Cagliari
0,68,577,Genoa
1,60,898,Genoa
2,48,416,Genoa
3,19,77,Genoa
4,24,93,Genoa
0,109,742,AC Milan
1,105,1382,AC Milan
2,43,406,AC Milan
3,9,58,AC Milan
4,17,102,AC Milan
0,65,488,Sampdoria
1,52,845,Sampdoria
2,23,251,Sampdoria
3,8,42,Sampdoria
4,17,54,Sampdoria
0,37,449,Osasuna
1,28,643,Osasuna
2,49,356,Osasuna
3,9,76,Osasuna
4,7,34,Osasuna
0,119,596,Barcelona
